Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      190.2    84.7    50.7    89.2   101.0   190.0   220.2   234.9   246.3   259.0   274.9   300.0   352.5   471.9  2120.1  39820.0    39878
read      183.1    86.3    50.7    84.2    94.1   165.0   210.8   236.9   255.0   274.7   298.2   332.4   396.6   500.8   853.8 110719.4   110750
read      151.4    65.2    54.7    85.6    97.0   149.3   165.4   173.5   181.0   188.9   200.1   218.9   273.7   653.8  1952.9   8225.0     8231
read      191.2    80.3    50.7    86.7    97.1   186.0   226.9   245.5   258.4   273.2   292.1   318.8   376.3   469.9  1037.0  63349.0    63638
read      185.8    82.8    50.7    84.0    94.0   172.0   219.4   242.3   257.6   274.3   295.3   325.5   385.7   485.9  1201.7  90057.0    90167
read      191.1    73.7    46.9    87.7    98.7   190.0   224.0   240.1   252.0   266.4   284.6   312.1   370.4   495.8  1223.8  50566.6    50555
read      165.8    51.7    46.9    89.8   103.2   164.1   183.6   194.9   202.6   213.2   226.0   245.8   294.0   600.8   692.2  16044.2    15997
read      191.4   178.8    50.7    88.0    99.5   188.6   220.2   235.3   246.7   259.5   275.1   300.1   357.1   471.9 10902.0  43011.2    43089
read      162.6    70.5    54.7    88.0   102.1   160.8   179.5   189.2   196.8   205.4   217.3   235.5   284.8   649.1  2658.7  12190.0    12188
read      187.1    77.2    46.9    84.5    94.6   177.7   223.4   244.0   257.6   272.8   292.1   319.2   374.6   460.2   583.9  76598.4    76615
read      182.2    89.8    50.7    89.3    99.1   164.0   202.0   227.2   245.5   266.5   291.6   326.7   396.1   568.4  2381.5 143818.8   143480
read      192.5    89.6    46.9    86.8    97.4   186.7   228.3   247.4   260.6   275.2   294.0   320.3   373.1   468.0  1619.5  63758.0    63793
read      188.7    78.6    43.4    85.1    95.2   180.3   225.3   245.6   259.3   274.2   293.4   320.1   374.0   458.2   741.5  71875.0    71996
read      189.4    83.9    46.9    88.3    99.5   189.0   219.9   234.8   246.1   258.9   275.0   301.2   357.4   476.9  2499.7  41733.6    41778
read      182.7   240.9    54.7    91.7   104.9   176.6   198.7   210.9   219.1   230.1   244.3   267.6   319.5   685.7 11540.6  21730.6    21860
read      189.2    74.0    46.9    87.5    98.9   188.8   220.7   236.1   248.0   261.6   278.7   305.7   359.1   447.0   691.0  45487.8    45582
